,1239-5-10-amf,1250-5-10-amf,13-5-10-amf,1387-5-10-amf,522-5-10-amf,672-5-10-amf,717-5-10-amf,856-5-10-amf,98-5-10-amf,1859-5-10-AMF,1601-5-10-AMF,1619-5-10-AMF,1832-5-10-AMF,1850-5-10-AMF,1875-5-10-AMF,1973-5-10-AMF,2355-5-10-AMF,2398-5-10-AMF,2500-5-10-AMF,2537-5-10-AMF,2597-5-10-AMF,2629-5-10-AMF,2893-5-10-AMF,2923-5-10-AMF,2869-5-10-AMF,3239-5-10-AMF,3381-5-10-AMF,3409-5-10-AMF,3667-5-10-AMF,3682-5-10-AMF,3779-5-10-AMF,3907-5-10-AMF,473-5-10-AMF,554-5-10-AMF
ASV409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007345972,0
ASV2452,0,0,0,0,0,0,0,0.00751073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007558331,0,0
ASV3124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000164908,0.002777778,0,0.000333,0,0,0,0.002105263,0,0,0,0,0,0.002232143
ASV1528,0,0.000227299,0,0,0,0,0.003591954,0,0,0,0,0.00093633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002874596,0,0,0,0,0,0,0
ASV266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007682458,0,0,0,0,0,0,0,0
ASV2720,0,0,0,0,0,0.002762431,0,0,0,0,0,0,0.002247191,0,0,0,0.00118624,0,0,0.001627781,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1011,0,0.007955449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008039492,0,0,0,0,0,0,0,0,0
ASV3053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008138904,0,0,0,0,0,0,0,0,0,0,0,0,0,0
